ACCIDENT_NO,ANY_TRAILER,NUM_VEHICLES
T20120001955,0,1
T20120001956,0,2
T20120001960,0,2
T20120001962,0,2
T20120001965,0,2
T20120001967,0,2
T20120001969,0,1
T20120001971,1,2
T20120001975,0,1
T20120001978,0,1
T20120001980,0,1
T20120001981,0,2
T20120001984,0,1
T20120001985,0,1
T20120001989,0,2
T20120001990,0,2
T20120001991,0,2
T20120001994,0,1
T20120001995,0,2
T20120001996,0,2
T20120001998,0,1
T20120001999,0,2
T20120002002,0,2
T20120002003,0,3
T20120002008,0,3
T20120002011,0,1
T20120002012,0,2
T20120002013,0,1
T20120002014,0,1
T20120002015,0,2
T20120002018,0,1
T20120002022,0,2
T20120002025,0,1
T20120002032,0,1
T20120002034,0,2
T20120002037,0,1
T20120002038,0,2
T20120002042,0,1
T20120002043,0,2
T20120002046,0,1
T20120002048,0,1
T20120002050,0,1
T20120002051,0,1
T20120002056,0,3
T20120002059,0,1
T20120002060,0,1
T20120002061,0,2
T20120002066,0,1
T20120002067,0,2
T20120002068,0,3
T20120002073,0,2
T20120002074,0,1
T20120002076,0,2
T20120002079,0,2
T20120002082,0,3
T20120002083,0,2
T20120002084,0,1
T20120002090,0,1
T20120002094,0,3
T20120002095,0,3
T20120002096,0,2
T20120002097,0,2
T20120002102,0,1
T20120002105,0,2
T20120002106,0,2
T20120002108,0,3
T20120002110,0,2
T20120002114,0,2
T20120002115,0,2
T20120002116,0,2
T20120002117,0,2
T20120002118,0,1
T20120002119,0,4
T20120002120,0,2
T20120002121,0,1
T20120002122,0,1
T20120002123,0,1
T20120002124,0,1
T20120002125,0,2
T20120002126,0,1
T20120002127,0,1
T20120002129,0,2
T20120002130,1,1
T20120002132,0,1
T20120002134,0,2
T20120002138,0,3
T20120002139,0,2
T20120002141,0,2
T20120002142,0,4
T20120002145,0,2
T20120002146,0,2
T20120002149,0,1
T20120002156,0,1
T20120002161,0,2
T20120002163,0,2
T20120002165,0,1
T20120002170,0,3
T20120002176,0,1
T20120002177,0,1
T20120002179,0,1
T20120002181,0,3
T20120002182,0,2
T20120002184,0,1
T20120002185,0,1
T20120002189,0,2
T20120002191,0,2
T20120002195,1,1
T20120002197,0,1
T20120002199,0,2
T20120002200,0,1
T20120002202,0,2
T20120002203,0,2
T20120002206,0,2
T20120002211,0,1
T20120002215,0,1
T20120002216,0,1
T20120002217,0,1
T20120002221,0,1
T20120002223,0,2
T20120002224,0,2
T20120002227,0,3
T20120002228,0,1
T20120002232,0,2
T20120002236,0,1
T20120002238,0,1
T20120002241,0,2
T20120002242,0,1
T20120002246,0,1
T20120002248,0,1
T20120002251,0,2
T20120002253,0,1
T20120002256,0,2
T20120002257,0,1
T20120002259,1,3
T20120002262,0,3
T20120002263,0,2
T20120002267,0,2
T20120002268,0,2
T20120002271,0,2
T20120002273,0,2
T20120002275,0,2
T20120002276,0,3
T20120002279,0,2
T20120002283,0,2
T20120002285,0,2
T20120002286,0,1
T20120002287,0,2
T20120002289,0,2
T20120002290,0,1
T20120002291,0,2
T20120002293,0,1
T20120002294,0,2
T20120002295,0,2
T20120002298,0,1
T20120002301,0,2
T20120002302,0,1
T20120002309,0,1
T20120002310,0,1
T20120002312,0,2
T20120002320,0,2
T20120002323,0,2
T20120002326,0,2
T20120002328,0,2
T20120002329,0,2
T20120002330,0,1
T20120002331,0,4
T20120002332,0,2
T20120002337,0,1
T20120002341,0,1
T20120002342,0,1
T20120002344,0,3
T20120002345,0,1
T20120002348,0,2
T20120002350,0,3
T20120002351,0,1
T20120002354,0,2
T20120002355,0,3
T20120002356,0,1
T20120002363,0,2
T20120002366,0,4
T20120002367,0,3
T20120002371,0,2
T20120002372,0,1
T20120002373,0,1
T20120002377,0,1
T20120002379,0,2
T20120002380,0,2
T20120002381,0,1
T20120002382,0,1
T20120002384,0,2
T20120002387,0,2
T20120002390,0,1
T20120002391,0,2
T20120002393,0,1
T20120002394,0,2
T20120002397,0,1
T20120002410,0,2
T20120002412,0,1
T20120002414,0,1
T20120002415,1,1
T20120002417,0,1
T20120002420,0,1
T20120002421,0,3
T20120002423,0,2
T20120002424,0,2
T20120002425,0,1
T20120002429,0,2
T20120002432,0,1
T20120002435,0,3
T20120002439,0,3
T20120002440,0,1
T20120002443,0,2
T20120002444,0,1
T20120002447,0,2
T20120002450,0,2
T20120002451,0,1
T20120002452,0,1
T20120002461,0,2
T20120002462,0,1
T20120002464,0,1
T20120002468,0,1
T20120002473,0,1
T20120002474,1,2
T20120002475,0,1
T20120002478,0,3
T20120002479,0,1
T20120002480,0,2
T20120002482,0,6
T20120002486,0,2
T20120002488,0,1
T20120002490,0,2
T20120002498,0,2
T20120002499,0,2
T20120002500,0,2
T20120002501,0,3
T20120002502,0,2
T20120002507,1,2
T20120002508,0,2
T20120002509,0,2
T20120002510,0,2
T20120002515,0,2
T20120002517,0,2
T20120002518,0,2
T20120002519,0,3
T20120002520,0,4
T20120002521,0,2
T20120002522,0,1
T20120002524,0,2
T20120002527,0,2
T20120002529,0,3
T20120002530,0,2
T20120002535,0,1
T20120002537,0,2
T20120002539,0,2
T20120002545,0,2
T20120002547,0,3
T20120002549,0,2
T20120002550,0,1
T20120002551,0,1
T20120002552,0,2
T20120002563,0,1
T20120002569,0,2
T20120002573,0,2
T20120002575,0,2
T20120002576,0,2
T20120002577,0,2
T20120002579,0,2
T20120002580,0,1
T20120002582,0,1
T20120002583,0,2
T20120002585,0,2
T20120002591,0,2
T20120002595,0,2
T20120002596,0,1
T20120002597,0,1
T20120002598,0,2
T20120002601,0,2
T20120002602,0,1
T20120002605,0,1
T20120002606,0,2
T20120002608,0,1
T20120002615,0,1
T20120002617,0,1
T20120002618,0,1
T20120002623,0,3
T20120002624,0,4
T20120002627,0,1
T20120002629,0,1
T20120002631,0,2
T20120002632,0,2
T20120002638,0,2
T20120002644,0,2
T20120002646,0,2
T20120002649,0,2
T20120002651,0,1
T20120002655,0,2
T20120002658,0,1
T20120002659,0,2
T20120002660,0,1
T20120002661,0,2
T20120002662,0,3
T20120002663,0,2
T20120002664,0,1
T20120002667,0,2
T20120002668,0,2
T20120002670,0,4
T20120002671,0,1
T20120002672,0,2
T20120002674,0,2
T20120002675,0,1
T20120002676,1,1
T20120002677,0,1
T20120002678,0,2
T20120002680,0,3
T20120002684,0,2
T20120002686,0,1
T20120002688,0,2
T20120002689,1,2
T20120002690,0,1
T20120002694,0,1
T20120002697,0,1
T20120002698,0,2
T20120002701,0,2
T20120002703,0,2
T20120002705,0,2
T20120002709,0,2
T20120002712,0,1
T20120002717,0,2
T20120002720,0,2
T20120002723,0,3
T20120002724,0,1
T20120002726,0,1
T20120002730,0,1
T20120002732,0,2
T20120002735,0,1
T20120002737,0,2
T20120002738,1,3
T20120002739,0,1
T20120002742,0,1
T20120002743,0,2
T20120002746,0,2
T20120002748,0,2
T20120002749,0,2
T20120002750,0,2
T20120002751,0,1
T20120002754,0,2
T20120002759,0,3
T20120002761,0,1
T20120002763,0,2
T20120002766,0,2
T20120002767,0,2
